50681517,555-4132,555-4554,26/07/2024 16:02:00,18,0.08,internacional
67452363,555-4998,555-6926,26/07/2024 08:54:00,8,0.06,internacional
83235579,555-5242,555-4167,26/07/2024 17:55:00,27,0.1,nacional
57191227,555-8555,555-7739,26/07/2024 10:06:00,16,0.07,nacional
75278041,555-4384,555-3272,26/07/2024 14:47:00,8,0.08,internacional
67452363,555-2115,555-4837,26/07/2024 13:21:00,12,0.09,internacional
30605388,555-1346,555-9537,26/07/2024 16:34:00,12,0.14,internacional
61953522,555-4404,555-9384,26/07/2024 11:56:00,20,0.13,nacional
79791358,555-8020,555-1671,26/07/2024 08:05:00,2,0.07,local
29752906,555-8184,555-6044,26/07/2024 16:21:00,18,0.06,internacional
64627708,555-8241,555-1057,26/07/2024 09:19:00,22,0.12,internacional
63371061,555-2871,555-3702,26/07/2024 13:57:00,2,0.07,internacional
75278041,555-8907,555-2603,26/07/2024 12:00:00,6,0.08,local
87887062,555-3559,555-5364,26/07/2024 11:22:00,4,0.08,local
56848119,555-4345,555-9669,26/07/2024 08:40:00,27,0.07,local
29752906,555-1575,555-2149,26/07/2024 15:36:00,16,0.07,internacional
10175981,555-2622,555-6401,26/07/2024 12:51:00,16,0.12,internacional
29411411,555-6110,555-2260,26/07/2024 16:18:00,22,0.07,internacional
62341919,555-8035,555-3600,26/07/2024 14:44:00,28,0.09,internacional
46561052,555-9932,555-4677,26/07/2024 08:47:00,22,0.13,internacional
79478302,555-4508,555-4831,26/07/2024 13:10:00,29,0.07,local
16083975,555-4018,555-6820,26/07/2024 11:58:00,5,0.11,internacional
82559507,555-3447,555-8457,26/07/2024 14:12:00,23,0.06,nacional
29411411,555-7417,555-7487,26/07/2024 10:52:00,14,0.07,internacional
75278041,555-2462,555-5175,26/07/2024 09:21:00,30,0.07,nacional
65606602,555-3370,555-5264,26/07/2024 16:43:00,19,0.07,local
25511404,555-9667,555-1251,26/07/2024 17:03:00,17,0.12,local
76760638,555-6958,555-2466,26/07/2024 17:16:00,19,0.08,internacional
86513435,555-6660,555-2257,26/07/2024 09:38:00,16,0.12,local
15750741,555-2561,555-3094,26/07/2024 11:52:00,15,0.07,nacional
95889853,555-9828,555-3839,26/07/2024 09:57:00,29,0.13,local
78643386,555-6819,555-6582,26/07/2024 08:09:00,6,0.09,internacional
63008944,555-2246,555-8443,26/07/2024 09:41:00,26,0.09,local
64704427,555-3501,555-9522,26/07/2024 10:27:00,7,0.11,local
38221656,555-8418,555-5595,26/07/2024 14:18:00,29,0.1,nacional
50681517,555-8240,555-7457,26/07/2024 11:25:00,23,0.08,nacional
19481746,555-9852,555-5143,26/07/2024 10:08:00,14,0.1,internacional
39215349,555-2226,555-8370,26/07/2024 13:28:00,13,0.08,nacional
73060290,555-3178,555-6307,26/07/2024 12:07:00,28,0.07,internacional
32082845,555-9428,555-1700,26/07/2024 15:46:00,18,0.1,nacional
70698019,555-8276,555-1838,26/07/2024 11:13:00,19,0.12,nacional
48408810,555-3651,555-4372,26/07/2024 11:37:00,6,0.08,local
50681517,555-7552,555-4074,26/07/2024 16:05:00,19,0.14,internacional
79766869,555-4522,555-2919,26/07/2024 17:17:00,11,0.05,local
29891938,555-5130,555-2497,26/07/2024 17:00:00,24,0.09,local
75278041,555-5853,555-4263,26/07/2024 12:17:00,1,0.07,local
28555130,555-2920,555-5464,26/07/2024 12:38:00,6,0.08,nacional
44620246,555-2470,555-8498,26/07/2024 14:06:00,13,0.05,local
